"intercept.one","intercept.two","precens.surv","fruit.disp","seed.num","kid.mean","kid.sd","f.alpha","f.beta","f.sigma.plot","g.alpha","g.beta","g.eps","g.sigma.plot","pf.alpha","pf.beta","pf.sigma.plot","s.alpha","s.beta","s.sigma.plot","sigma.year","sigma.yr.1.","sigma.yr.2.","sigma.yr.3.","sigma.yr.4.","y.beta.1.","y.beta.2.","y.beta.3.","y.beta.4."
-5.20684120682464,-5.58435756073175,-1.83154080097735,-3.0759154776425,131.714951782705,-3.24931925378327,0.639399525800923,-6.84146637637485,0.746357036220857,0.176434145199648,0.971612882718153,0.896352304775289,0.841514642755073,0.0641218909686446,-20.8860968799588,1.80950063109775,0.476846984398391,0.311816496536227,0.336198719557943,0.203713127020495,0.0664286747985789,1.1296359124846,0.275754779057862,2.45486847163301,0.173165997862456,1,-1,1,1
-5.13862744866382,-5.17306697301458,-2.01549247100722,-3.76992738795989,131.058212102286,-3.17293160640254,0.526051647467007,-6.21984833831639,0.701039854663881,0.195552045553654,0.585885958086001,0.914914087589888,0.839184193560052,0.109880983312935,-20.7573943044192,1.85863879083053,0.673243675530317,0.305524594030272,0.373478777691181,0.0896644728464968,0.254526771477538,0.864022290095322,0.306429842738773,1.62757731530037,0.0589849995889846,1,-1,1,1
-5.18438763620302,-5.30993826296641,-1.13997740692685,-3.80278619755968,131.362218900662,-3.15407410808383,0.739272568263604,-6.53865023320301,0.70613821326246,0.321286746394368,0.825971044232873,0.916742414572367,0.842377377264783,0.0402944076173847,-19.9701328084578,1.76645357334495,0.251085646432422,0.173944918326166,0.342021976395793,0.192102013586634,0.0329611256734673,0.777678446010034,0.252668541731056,1.8968917867237,0.392817271594889,-1,-1,1,1
-5.31878034937543,-5.64050921935739,-1.8779825293656,-3.58365291723944,123.842670191536,-3.0928835348436,0.956966068434743,-5.70689728411944,0.662052958449864,0.243297448569016,0.773201831096595,0.915097803933012,0.841228505908811,0.0631516207872041,-19.1328346567721,1.79223914894697,0.331293620643607,0.917306784982892,0.333237399037909,0.334390218841869,0.278297597430996,0.772205534223842,0.106490659785038,1.31967773094878,0.223058197910871,1,-1,1,1
-5.19301312515279,-5.42299601485258,-1.76075386588424,-3.49484139034142,120.042828459961,-3.27002436223653,0.639173924226465,-5.85225404311949,0.684995976480143,0.251163297323742,0.743551312230667,0.907169945779217,0.865608206064959,0.181832979282609,-20.4848338859134,1.8182157853786,0.439025523236163,0.678730459047613,0.368914137704757,0.490651177297668,0.303628116618359,0.952283445225726,0.269986731455762,2.11383211024899,0.3104315474787,-1,-1,-1,1
-5.01590845030818,-5.44984667656627,-1.1561962504837,-3.93629422029785,115.373999135459,-3.2766093694283,0.661524025604077,-6.41684616981118,0.706962505192105,0.235335272223031,0.968737478871322,0.908066530997639,0.851570515252637,0.061495871086327,-22.1143506880983,1.91388806277332,0.38826717635099,0.596890136524548,0.39267635443951,0.194427680026784,0.23738008291836,1.10647890881945,0.049992596890633,2.32512295632813,0.152355996019616,1,-1,-1,1
-5.11566142435951,-5.45684593621918,-1.27063389767291,-3.55391426228215,115.701600092789,-3.27015050722919,0.623197011303827,-5.30520643219913,0.604460627851006,0.54712892827371,0.715866906879608,0.927090706559061,0.825654292510577,0.0784479694949838,-20.9011035308002,1.81564049521763,0.410416154434583,0.900068280885236,0.370139947541543,0.0496052996850813,0.103927723775202,2.23491690508574,0.218053232529989,1.76901820904911,0.243999502797295,1,1,-1,1
-5.14500222314269,-5.50921265672794,-1.71758590588089,-3.41872798354561,107.947169217038,-2.72112814060825,0.941877346797577,-5.93221772101636,0.670857091958603,0.453044278546293,0.815140362390848,0.911082226663331,0.857907851315852,0.0349781388282315,-19.6601683938236,1.71771291515868,0.750564690691586,0.324910927871433,0.376938056137177,0.0428272539569095,0.13774162982321,0.506459453050954,0.177945677192477,1.0104106968886,0.545554683255064,1,-1,1,1
-4.92891180656572,-5.39343561168024,-1.52742544198343,-3.49463011167097,131.488887554773,-3.25292114490823,0.800373553633615,-5.72256207480462,0.65539555490347,0.472522752592928,0.84569144590567,0.909254303959426,0.867796764101976,0.0275001241629826,-18.9739182477759,1.71810803857602,0.510703991780445,0.143246345028971,0.403479128085782,0.149771721425929,0.264204136673758,0.848500766654064,0.276768390793104,1.7514964174331,0.407202237103179,1,-1,1,1
-4.95211846497985,-5.72228868147522,-1.24693062206145,-3.33080569550308,121.321634563493,-3.86312125292717,0.728736768869031,-6.24273862303336,0.688396129018304,0.252118460487497,0.909880760392265,0.914876387390769,0.836926034141157,0.119750156064504,-21.8971209730694,1.99776586115354,0.520279285664182,0.52581417026814,0.329989631838914,0.0984712177546623,0.2860565867332,1.32869660116646,0.130265534561393,1.23515672520836,0.239579538842739,-1,-1,1,1
-5.2879045360918,-5.51598462651354,-1.74396277662998,-3.37571318239926,130.508423213667,-3.1461605344191,0.686467974448659,-5.99060920090726,0.673580542880374,0.256657801219248,0.722349530568619,0.915281459035757,0.843431859400847,0.0835386622130857,-21.179375203341,1.85318916250975,0.78723855259361,0.907784186884051,0.354306441799299,0.264183307144904,0.492973951462958,0.954685932861373,0.20864589193651,4.62902553005933,0.267664386968897,1,-1,-1,1
